序號,案件名稱,裁判日期,裁判案由,違約金類型,最終違約金類型,Target
11,臺灣屏東地方法院 113 年度 司促 字第 13637 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未繳款的違約金計算方式為：逾期在6個月以內部分，按年利率14.83%的百分之十計算；逾期超過6個月至9個月以內部分，按年利率14.83%的百分之二十計算。  這明顯超過了單純的利息損失，是一種額外懲罰，與實際損失的金額並無直接且合理的比例關係。  雖然有提及利息，但違約金的計算方式已明顯具有懲罰性質，而非單純的損害賠償。  更重要的是，契約明文規定違約金的計算方式是按年利率的百分比計算，與實際損失脫鉤，符合懲罰性違約金的定義。  因此，即使有部分金額是本金與利息，但因違約金部分明顯屬於懲罰性，故整體判定為懲罰性違約金。
","根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未繳款的違約金計算方式為：逾期在6個月以內部分，按年利率14.83%的百分之十計算；逾期超過6個月至9個月以內部分，按年利率14.83%的百分之二十計算。  這明顯超過了單純的利息損失，是一種額外懲罰，與實際損失的金額並無直接且合理的比例關係。  雖然有提及利息，但違約金的計算方式已明顯具有懲罰性質，而非單純的損害賠償。  更重要的是，契約明文規定違約金的計算方式是按年利率的百分比計算，與實際損失脫鉤，符合懲罰性違約金的定義。  因此，即使有部分金額是本金與利息，但因違約金部分明顯屬於懲罰性，故整體判定為懲罰性違約金。
",1
12,臺灣臺中地方法院 114 年度 司促 字第 1127 號民事裁定,2025-01-10,支付命令,"根據提供的內容，更接近**懲罰性編號1**。

理由：雖然裁定書提及利息和違約金，但重點在於「違約金計算方式」：逾期在6個月以內者，按利率一成；逾期超過6個月，其超過6個月部份，按利率二成，按期計收違約金，每次違約狀態最高連續收取期數為九期。  這顯示違約金的計算並非單純基於實際損失，而是包含了懲罰性的成分，尤其「按期計收違約金，每次違約狀態最高連續收取期數為九期」這部分，明顯超越單純損失賠償的範圍，屬於對違約行為的額外懲罰。  雖然有提到本金和利息，但違約金的計算機制才是決定性因素。  缺少了關於實際損失的具體說明，無法判斷違約金是否與實際損失成比例。  因此，整體來看，更傾向於懲罰性違約金。
","根據提供的內容，更接近**懲罰性編號1**。

理由：雖然裁定書提及利息和違約金，但重點在於「違約金計算方式」：逾期在6個月以內者，按利率一成；逾期超過6個月，其超過6個月部份，按利率二成，按期計收違約金，每次違約狀態最高連續收取期數為九期。  這顯示違約金的計算並非單純基於實際損失，而是包含了懲罰性的成分，尤其「按期計收違約金，每次違約狀態最高連續收取期數為九期」這部分，明顯超越單純損失賠償的範圍，屬於對違約行為的額外懲罰。  雖然有提到本金和利息，但違約金的計算機制才是決定性因素。  缺少了關於實際損失的具體說明，無法判斷違約金是否與實際損失成比例。  因此，整體來看，更傾向於懲罰性違約金。
",1
13,臺灣臺中地方法院 114 年度 司促 字第 1121 號民事裁定,2025-01-10,支付命令,"根據提供的契約內容，此屬於**損害賠償性編號2**。

雖然內容提及利息，但這些利息是基於原貸款契約約定的利率計算而來，是因債務人未依約還款而產生的實際損失，而非額外的懲罰性罰金。  金額的計算方式也與實際欠款及延遲時間相關聯，並非預設的固定金額。  最後，支付命令的目的是要求債務人償還本金、利息及訴訟費用，這些都是債權人因債務人違約而遭受的實際損失的補償，符合損害賠償性的定義。  沒有發現任何額外的懲罰性條款。
","根據提供的契約內容，此屬於**損害賠償性編號2**。

雖然內容提及利息，但這些利息是基於原貸款契約約定的利率計算而來，是因債務人未依約還款而產生的實際損失，而非額外的懲罰性罰金。  金額的計算方式也與實際欠款及延遲時間相關聯，並非預設的固定金額。  最後，支付命令的目的是要求債務人償還本金、利息及訴訟費用，這些都是債權人因債務人違約而遭受的實際損失的補償，符合損害賠償性的定義。  沒有發現任何額外的懲罰性條款。
",2
14,臺灣臺中地方法院 114 年度 司促 字第 1119 號民事裁定,2025-01-10,支付命令,"根據提供的內容，應歸類為**損害賠償性編號2**。

理由：

契約內容顯示的是信用卡欠款，包含本金、利息、逾期費用等，這些費用都與債務人的實際損失直接相關。雖然有提到利息（年息百分之十五），但這是基於銀行法及契約約定，而非額外罰金。  支付命令中請求的金額是債務人欠款的總和，並非一個遠高於實際損失的懲罰性金額。  最後，提到的是督促程序費用，這也是一種實際發生的費用。  整體而言，請求的金額旨在償還債務人的實際欠款及相關費用，符合損害賠償性的定義。
","根據提供的內容，應歸類為**損害賠償性編號2**。

理由：

契約內容顯示的是信用卡欠款，包含本金、利息、逾期費用等，這些費用都與債務人的實際損失直接相關。雖然有提到利息（年息百分之十五），但這是基於銀行法及契約約定，而非額外罰金。  支付命令中請求的金額是債務人欠款的總和，並非一個遠高於實際損失的懲罰性金額。  最後，提到的是督促程序費用，這也是一種實際發生的費用。  整體而言，請求的金額旨在償還債務人的實際欠款及相關費用，符合損害賠償性的定義。
",2
15,臺灣臺中地方法院 114 年度 司促 字第 1075 號民事裁定,2025-01-10,支付命令,"根據提供的內容，選擇**懲罰性編號1**。

理由：契約中約定逾期未繳款的違約金計算方式為：逾期在六個月以內部分，按年利率13.83%的百分之十計算；逾期超過六個月至九個月以內部分，按年利率13.83%的百分之二十計算。  這明顯是超過實際損失的額外罰款，與實際損失的關聯性較弱，符合懲罰性違約金的定義。  雖然支付命令中也包含了本金與利息，但違約金的計算方式已經明顯具有懲罰性質，因此整體判斷更偏向懲罰性編號1。
","根據提供的內容，選擇**懲罰性編號1**。

理由：契約中約定逾期未繳款的違約金計算方式為：逾期在六個月以內部分，按年利率13.83%的百分之十計算；逾期超過六個月至九個月以內部分，按年利率13.83%的百分之二十計算。  這明顯是超過實際損失的額外罰款，與實際損失的關聯性較弱，符合懲罰性違約金的定義。  雖然支付命令中也包含了本金與利息，但違約金的計算方式已經明顯具有懲罰性質，因此整體判斷更偏向懲罰性編號1。
",1
16,臺灣臺中地方法院 114 年度 司促 字第 1073 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

雖然契約提及逾期未付款的違約金計算方式，包含逾期時間長短不同的利率，但其目的並非懲罰債務人，而是補償債權人因債務人未按時還款所造成的實際損失（利息損失）。  違約金的計算方式與實際的利息損失直接相關，並非一個預先設定的固定金額，而是根據逾期時間和利率計算出來的。  因此，更符合損害賠償的定義，而非懲罰性違約金。  雖然利率有提高，但這是在金融借貸中常見的慣例，用以反映時間價值和風險，並非無限制的懲罰。
","根據提供的內容，屬於**損害賠償性編號2**。

雖然契約提及逾期未付款的違約金計算方式，包含逾期時間長短不同的利率，但其目的並非懲罰債務人，而是補償債權人因債務人未按時還款所造成的實際損失（利息損失）。  違約金的計算方式與實際的利息損失直接相關，並非一個預先設定的固定金額，而是根據逾期時間和利率計算出來的。  因此，更符合損害賠償的定義，而非懲罰性違約金。  雖然利率有提高，但這是在金融借貸中常見的慣例，用以反映時間價值和風險，並非無限制的懲罰。
",2
17,臺灣臺中地方法院 114 年度 司促 字第 1072 號民事裁定,2025-01-10,支付命令,"根據提供的內容，此契約屬於**懲罰性編號1**。

理由：契約中明確規定逾期未付款的違約金計算方式，包含逾期時間長短不同的違約金利率（逾期六個月以內部分按年息16%的10%計算，超過六個月至九個月以內部分按年息16%的20%計算），且最高連續收取期數為9期。  這明顯超過了單純的損害賠償範圍，旨在對債務人的違約行為進行懲罰，而非僅僅補償債權人的實際損失。  雖然包含利息和費用，但高額且複利的違約金計算方式才是主要特徵，遠超過損害賠償的合理比例。  此外，最後也提及強制執行條款，更強化其懲罰性的性質。
","根據提供的內容，此契約屬於**懲罰性編號1**。

理由：契約中明確規定逾期未付款的違約金計算方式，包含逾期時間長短不同的違約金利率（逾期六個月以內部分按年息16%的10%計算，超過六個月至九個月以內部分按年息16%的20%計算），且最高連續收取期數為9期。  這明顯超過了單純的損害賠償範圍，旨在對債務人的違約行為進行懲罰，而非僅僅補償債權人的實際損失。  雖然包含利息和費用，但高額且複利的違約金計算方式才是主要特徵，遠超過損害賠償的合理比例。  此外，最後也提及強制執行條款，更強化其懲罰性的性質。
",1
18,臺灣臺中地方法院 114 年度 司促 字第 1071 號民事裁定,2025-01-10,支付命令,"根據提供的內容，應選擇**懲罰性編號1**。

理由如下：契約中約定逾期未還款部分，將按年利率16%的百分之十或百分之二十計算違約金，且最高可連續收取9期。這明顯超過了單純的損害賠償範圍，其目的並非補償債權人的實際損失（例如催收費用、管理費用），而是對債務人逾期還款行為的懲罰。  雖然契約提到利息和違約金，但違約金的計算方式與實際損失並無直接關聯，且金額遠高於一般損害賠償的合理範圍。  因此，更符合懲罰性違約金的定義。
","根據提供的內容，應選擇**懲罰性編號1**。

理由如下：契約中約定逾期未還款部分，將按年利率16%的百分之十或百分之二十計算違約金，且最高可連續收取9期。這明顯超過了單純的損害賠償範圍，其目的並非補償債權人的實際損失（例如催收費用、管理費用），而是對債務人逾期還款行為的懲罰。  雖然契約提到利息和違約金，但違約金的計算方式與實際損失並無直接關聯，且金額遠高於一般損害賠償的合理範圍。  因此，更符合懲罰性違約金的定義。
",1
19,臺灣臺中地方法院 114 年度 司促 字第 1068 號民事裁定,2025-01-10,支付命令,"根據提供的內容，應歸類為**損害賠償性編號2**。

雖然契約中提到年息百分之十五的利息，但這並非額外的罰金，而是根據信用卡契約約定，因逾期未還款而產生的利息，屬於債務本身的一部分，用以補償債權人因資金占用而產生的損失。  利息的計算方式是基於未還清的本金，並非一個預先設定的固定罰款金額。  500元的督促程序費用也是實際發生的費用，屬於損害賠償的範圍。  整體而言，金額的計算都與債務人的實際違約行為（逾期未還款）和相關費用直接掛鉤，符合損害賠償性的定義。  並未有明顯超出合理比例的懲罰性賠償。
","根據提供的內容，應歸類為**損害賠償性編號2**。

雖然契約中提到年息百分之十五的利息，但這並非額外的罰金，而是根據信用卡契約約定，因逾期未還款而產生的利息，屬於債務本身的一部分，用以補償債權人因資金占用而產生的損失。  利息的計算方式是基於未還清的本金，並非一個預先設定的固定罰款金額。  500元的督促程序費用也是實際發生的費用，屬於損害賠償的範圍。  整體而言，金額的計算都與債務人的實際違約行為（逾期未還款）和相關費用直接掛鉤，符合損害賠償性的定義。  並未有明顯超出合理比例的懲罰性賠償。
",2
20,臺灣臺中地方法院 114 年度 司促 字第 1067 號民事裁定,2025-01-10,支付命令,"此內容屬於**損害賠償性編號2**。

雖然契約中提及年息百分之十五的利息，這並非額外的罰金，而是根據信用卡契約約定，因逾期未還款而產生的利息，屬於債務本身的一部分，用以彌補債權人因債務人違約而遭受的實際財務損失（延遲付款的損失）。  督促程序費用伍佰元也屬於實際發生的費用。  整個金額是基於實際欠款和利息計算，並未顯著超過合理的損失範圍，因此更符合損害賠償性的定義。
","此內容屬於**損害賠償性編號2**。

雖然契約中提及年息百分之十五的利息，這並非額外的罰金，而是根據信用卡契約約定，因逾期未還款而產生的利息，屬於債務本身的一部分，用以彌補債權人因債務人違約而遭受的實際財務損失（延遲付款的損失）。  督促程序費用伍佰元也屬於實際發生的費用。  整個金額是基於實際欠款和利息計算，並未顯著超過合理的損失範圍，因此更符合損害賠償性的定義。
",2
21,臺灣臺南地方法院 113 年度 消債更 字第 623 號民事裁定,2025-01-13,更生事件,"這份文件是**臺灣臺南地方法院 113 年度消債更字第 623 號民事裁定**，內容是關於更生程序的裁定，而非關於契約違約金的判決。因此，**懲罰性編號1** 與 **損害賠償性編號2** 的分類標準在此情境下並不適用。  這個裁定書處理的是債務人的債務清償問題，並未涉及任何關於違約金的計算或判決。  因此，無法根據提供的分類標準進行判斷。
","這份文件是**臺灣臺南地方法院 113 年度消債更字第 623 號民事裁定**，內容是關於更生程序的裁定，而非關於契約違約金的判決。因此，**懲罰性編號1** 與 **損害賠償性編號2** 的分類標準在此情境下並不適用。  這個裁定書處理的是債務人的債務清償問題，並未涉及任何關於違約金的計算或判決。  因此，無法根據提供的分類標準進行判斷。
",2
22,臺灣臺南地方法院 113 年度 消債更 字第 634 號民事裁定,2025-01-13,更生事件,"這段文字是法院的民事裁定書，內容關於更生程序的聲請許可，並非關於契約違約金的內容。因此，**編號1和編號2的分類標準在此情境下皆不適用**。裁定書討論的是聲請人郭惠婷的財務狀況及償債能力，目的是判斷其是否符合更生程序的條件，並非處理任何契約違約及相關賠償問題。  因此，無法根據提供的分類標準選擇編號1或編號2。
","這段文字是法院的民事裁定書，內容關於更生程序的聲請許可，並非關於契約違約金的內容。因此，**編號1和編號2的分類標準在此情境下皆不適用**。裁定書討論的是聲請人郭惠婷的財務狀況及償債能力，目的是判斷其是否符合更生程序的條件，並非處理任何契約違約及相關賠償問題。  因此，無法根據提供的分類標準選擇編號1或編號2。
",0
23,臺灣橋頭地方法院 113 年度 建 字第 38 號民事裁定,2025-01-10,給付工程款,"這份裁定書內容屬於**損害賠償性編號2**。

裁定書並非處理違約金，而是處理反訴原告未繳納反訴裁判費的問題。  裁定書要求補繳的金額 (21,295元) 是訴訟費用，與反訴請求金額 (2,042,888元)相關，但並非對違約行為的懲罰。  它屬於程序上的費用，與實際損失(反訴請求金額)的關係是間接的，而非對違約的額外懲罰。  因此，更接近損害賠償的性質（雖然是訴訟費用，但其目的仍然是為了處理訴訟程序，與損害賠償的概念較為接近）。  沒有任何跡象顯示這筆費用是為了懲罰反訴原告而設定的。
","這份裁定書內容屬於**損害賠償性編號2**。

裁定書並非處理違約金，而是處理反訴原告未繳納反訴裁判費的問題。  裁定書要求補繳的金額 (21,295元) 是訴訟費用，與反訴請求金額 (2,042,888元)相關，但並非對違約行為的懲罰。  它屬於程序上的費用，與實際損失(反訴請求金額)的關係是間接的，而非對違約的額外懲罰。  因此，更接近損害賠償的性質（雖然是訴訟費用，但其目的仍然是為了處理訴訟程序，與損害賠償的概念較為接近）。  沒有任何跡象顯示這筆費用是為了懲罰反訴原告而設定的。
",2
24,臺灣屏東地方法院 113 年度 司促 字第 13967 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由：

契約中提及的6,933元是債務人未按期繳付的信用卡款項，以及自民國113年11月27日起至清償日止，按週年利率百分之15計算之利息，以及500元督促程序費用。這些費用都與債務人的實際違約行為（未按時還款）和後續的追討程序直接相關，可以理解為因違約造成的實際損失和相關費用。  雖然利息利率高達15%，但這是在信用卡契約中約定好的，並非額外附加的懲罰性違約金。  整體金額並未顯著超出實際損失的合理範圍（需考慮利息累計），更沒有提到任何額外的罰款。  因此，更符合損害賠償性的定義。
","根據提供的內容，屬於**損害賠償性編號2**。

理由：

契約中提及的6,933元是債務人未按期繳付的信用卡款項，以及自民國113年11月27日起至清償日止，按週年利率百分之15計算之利息，以及500元督促程序費用。這些費用都與債務人的實際違約行為（未按時還款）和後續的追討程序直接相關，可以理解為因違約造成的實際損失和相關費用。  雖然利息利率高達15%，但這是在信用卡契約中約定好的，並非額外附加的懲罰性違約金。  整體金額並未顯著超出實際損失的合理範圍（需考慮利息累計），更沒有提到任何額外的罰款。  因此，更符合損害賠償性的定義。
",2
25,臺灣屏東地方法院 113 年度 司促 字第 13895 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

雖然內容提及利息，但這是基於未償還款項產生的合法利息，而非額外罰金。  500元的督促程序費用也屬於實際發生的費用，而非懲罰性質。  主要的金額17,337元是未償還的信用卡款項及利息，符合損害賠償的定義，用以補償債權人的實際損失。  沒有任何跡象顯示金額遠超過實際損失或具有懲罰性質。
","根據提供的內容，屬於**損害賠償性編號2**。

雖然內容提及利息，但這是基於未償還款項產生的合法利息，而非額外罰金。  500元的督促程序費用也屬於實際發生的費用，而非懲罰性質。  主要的金額17,337元是未償還的信用卡款項及利息，符合損害賠償的定義，用以補償債權人的實際損失。  沒有任何跡象顯示金額遠超過實際損失或具有懲罰性質。
",2
